Latitude(deg.),Longitude(deg.),Slant_Range(m),Incidence_Angle(deg.)
-80.382352,79.708857,112158.975341,25.972722
-80.380702,79.571164,112461.799107,26.317486
-80.379309,79.460368,112765.893745,26.579077
-80.377938,79.354398,113070.021465,26.825209
-80.388843,80.232351,110638.466691,24.742175
-80.387785,80.134722,110942.834344,24.968012
-80.386688,80.036014,111247.104374,25.196409
-80.385491,79.930129,111551.212059,25.446005
-80.384166,79.815127,111854.559940,25.722855
-80.382888,79.707933,112158.929397,25.974856
-80.381244,79.570801,112461.807567,26.317870
-80.379851,79.459998,112765.910906,26.579461
-80.378478,79.353866,113070.071269,26.826063
-80.389375,80.230896,110638.421690,24.746025
-80.388316,80.133209,110942.788445,24.972019
-80.387219,80.034528,111247.066801,25.200313
-80.386025,79.928977,111551.152595,25.448875
-80.384702,79.814139,111854.549128,25.725193
-80.383420,79.706625,112158.898053,25.978157
-80.381786,79.570437,112461.817881,26.318254
-80.380393,79.459639,112765.928709,26.579811
-80.379017,79.353291,113070.107922,26.827049
-80.389907,80.229372,110638.375062,24.750089
-80.388848,80.131704,110942.742600,24.976004
-80.387751,80.033088,111247.028412,25.204079
-80.386556,79.927525,111551.083188,25.452665
-80.385237,79.813130,111854.546672,25.727593
-80.383952,79.705300,112158.849856,25.981513
-80.382328,79.570076,112461.823683,26.318632
-80.380935,79.459293,112765.941697,26.580121
-80.379556,79.352654,113070.135407,26.828226
-80.390438,80.227812,110638.326853,24.754259
-80.389379,80.130189,110942.696614,24.980018
-80.388284,80.031705,111246.996372,25.207665
-80.387084,79.925717,111551.059997,25.457527
