PSR_ID,lat,lon,area_km2,px_with_radar_data,high_tier_fraction,moderate_plus_fraction
SP_848170_2531360,-84.817,253.136,8.942,41,0.36585365853658536,0.7317073170731707
SP_811170_1103320,-81.117,110.332,15.679,85,0.36470588235294116,0.7764705882352941
SP_838910_1184700,-83.891,118.47,326.804,1910,0.36178010471204186,0.6057591623036649
SP_805410_3513540,-80.541,351.354,13.421,9,0.3333333333333333,0.8888888888888888
SP_834700_1757740,-83.47,175.773,113.461,561,0.31907308377896615,0.7219251336898396
SP_864540_2463730,-86.454,246.373,6.156,22,0.3181818181818182,0.6818181818181818
SP_896450_1282030,-89.645,128.203,233.698,187,0.3155080213903743,0.5026737967914439
SP_858910_0680440,-85.89,68.043,17.276,93,0.3118279569892473,0.7419354838709677
SP_825510_3282650,-82.551,328.265,7.963,45,0.3111111111111111,0.6888888888888889
SP_830760_0866010,-83.076,86.604,29.081,177,0.3107344632768362,0.9322033898305084
SP_838590_2630960,-83.859,263.096,25.358,143,0.3076923076923077,0.6153846153846154
SP_818580_2863520,-81.858,286.352,11.045,65,0.3076923076923077,0.6461538461538462
SP_832830_2218380,-83.282,221.839,11.452,36,0.3055555555555556,0.8888888888888888
SP_824630_2701340,-82.463,270.134,11.143,76,0.3026315789473684,0.7631578947368421
SP_802980_2902000,-80.298,290.2,5.069,30,0.3,0.6666666666666666
SP_861810_0724650,-86.181,72.465,22.91,128,0.296875,0.6484375
SP_846740_2192870,-84.674,219.287,28.861,154,0.2922077922077922,0.564935064935065
SP_833370_2762390,-83.337,276.239,5.022,31,0.2903225806451613,0.9354838709677419
SP_885720_3307300,-88.572,330.73,9.504,52,0.28846153846153844,0.7307692307692307
SP_841420_0059530,-84.142,5.947,194.951,661,0.2874432677760968,0.7609682299546142
SP_820930_2525100,-82.093,252.51,12.96,75,0.28,0.68
SP_833060_0855030,-83.306,85.503,36.306,213,0.27699530516431925,0.7183098591549296
SP_828030_1905080,-82.803,190.508,6.959,40,0.275,0.725
SP_862290_2910480,-86.229,291.048,5.35,33,0.2727272727272727,0.7878787878787878
SP_815020_2945690,-81.502,294.569,71.806,417,0.2709832134292566,0.7266187050359713
SP_885400_1004650,-88.54,100.465,5.31,19,0.2631578947368421,0.631578947368421
SP_817350_2002230,-81.735,200.223,46.735,271,0.25830258302583026,0.6900369003690037
SP_838270_2552930,-83.827,255.293,16.553,98,0.25510204081632654,0.6530612244897959
SP_841710_1745910,-84.171,174.591,5.836,36,0.25,0.6944444444444444
SP_849230_2362280,-84.923,236.228,10.382,60,0.23333333333333334,0.5833333333333334
SP_831940_0871580,-83.194,87.158,5.299,30,0.23333333333333334,0.6666666666666666
SP_843890_1402790,-84.389,140.279,9.882,53,0.22641509433962265,0.7735849056603774
SP_819220_1874810,-81.922,187.481,6.477,31,0.22580645161290322,0.9032258064516129
SP_867930_0609460,-86.793,60.947,24.347,142,0.22535211267605634,0.49295774647887325
SP_878530_3185060,-87.853,318.505,11.257,63,0.2222222222222222,0.5555555555555556
SP_883120_2691430,-88.312,269.144,243.392,1246,0.22150882825040127,0.6219903691813804
SP_892100_3421950,-89.21,342.195,5.717,32,0.21875,0.75
SP_847880_3354420,-84.788,335.442,6.844,32,0.21875,0.75
SP_842890_0563440,-84.289,56.343,98.05,556,0.21762589928057555,0.512589928057554
SP_812320_3534500,-81.232,353.45,13.378,24,0.20833333333333334,1.0
SP_883170_0809830,-88.317,80.983,28.66,154,0.2077922077922078,0.5584415584415584
SP_818190_0694460,-81.819,69.446,16.955,53,0.20754716981132076,0.5283018867924528
SP_846090_2604870,-84.609,260.487,5.612,15,0.2,0.4666666666666667
SP_832600_0820620,-83.259,82.073,139.115,641,0.1996879875195008,0.6380655226209049
SP_836320_2801250,-83.631,280.125,43.056,256,0.1953125,0.5625
SP_815660_2829890,-81.566,282.989,7.121,41,0.1951219512195122,0.7317073170731707
SP_839950_3514880,-83.995,351.488,13.273,78,0.19230769230769232,0.5512820512820513
SP_804280_1769430,-80.428,176.943,9.029,27,0.18518518518518517,0.4074074074074074
SP_838860_2839350,-83.886,283.934,10.062,60,0.18333333333333332,0.5166666666666667
SP_840090_2612130,-84.009,261.213,5.573,33,0.18181818181818182,0.5757575757575758
SP_864040_0314430,-86.404,31.443,120.578,648,0.18055555555555555,0.5354938271604939
SP_841480_2552970,-84.148,255.297,7.844,45,0.17777777777777778,0.5555555555555556
SP_860780_3461430,-86.078,346.143,7.578,45,0.17777777777777778,0.9555555555555556
SP_837240_2836250,-83.723,283.625,11.088,68,0.17647058823529413,0.6617647058823529
SP_804240_1354850,-80.424,135.48,155.909,913,0.171960569550931,0.5421686746987951
SP_843550_2251140,-84.355,225.114,76.759,434,0.16820276497695852,0.716589861751152
SP_818620_3499460,-81.862,349.946,27.331,12,0.16666666666666666,0.5
SP_879600_1679640,-87.96,167.964,5.216,30,0.16666666666666666,0.9333333333333333
SP_876470_0668600,-87.647,66.86,5.9,36,0.16666666666666666,0.5833333333333334
SP_836660_0840100,-83.666,84.011,45.785,214,0.16355140186915887,0.7570093457943925
SP_809710_0357350,-80.97,35.736,166.374,683,0.16251830161054173,0.49633967789165445
SP_830550_0674490,-83.055,67.443,130.658,710,0.1619718309859155,0.7774647887323943
SP_832050_0736210,-83.205,73.619,17.554,95,0.15789473684210525,0.8842105263157894
SP_809100_3154980,-80.91,315.498,5.958,32,0.15625,0.90625
SP_838780_3211110,-83.878,321.11,11.808,71,0.15492957746478872,0.7183098591549296
SP_846960_1555270,-84.696,155.524,15.264,13,0.15384615384615385,0.38461538461538464
SP_853430_1441490,-85.343,144.149,9.076,53,0.1509433962264151,0.5660377358490566
SP_838890_3143320,-83.889,314.332,17.708,101,0.1485148514851485,0.6138613861386139
